Tier	Index	Morpheme	Hex Code	English	Type
Tier 5	74	-eg-	0x4a	big	Suffix
Tier 5	75	-ej-	0x4b	place	Suffix
Tier 5	76	-em-	0x4c	tendency	Suffix
Tier 5	77	-end-	0x4d	must do	Suffix
Tier 5	78	-er-	0x4e	piece	Suffix
Tier 5	79	-estr-	0x4f	leader	Suffix
Tier 5	80	-et-	0x50	small	Suffix
Tier 5	81	-id-	0x51	offspring	Suffix
Tier 5	82	-ig-	0x52	cause	Suffix
Tier 5	83	-il-	0x53	tool	Suffix
Tier 5	84	-in-	0x54	female	Suffix
Tier 5	85	-ind-	0x55	worthy	Suffix
Tier 5	86	-ing-	0x56	holder	Suffix
Tier 5	87	-ism-	0x57	system	Suffix
Tier 5	88	-ist-	0x58	professional	Suffix
Tier 5	89	-iĝ-	0x59	become	Suffix
Tier 5	90	-nj-	0x5a	nickname female	Suffix
Tier 5	91	-obl-	0x5b	multiple	Suffix
Tier 5	92	-on-	0x5c	fraction	Suffix
Tier 5	93	-op-	0x5d	collective	Suffix
Tier 5	94	-ot-	0x5e	future passive	Suffix
Tier 5	95	-uj-	0x5f	container	Suffix
Tier 5	96	-ul-	0x60	person	Suffix
Tier 5	97	-um-	0x61	indefinite	Suffix
Tier 5	98	-ĉj-	0x62	nickname male	Suffix
Tier 5	99	bo-	0x63	in-law	Prefix
Tier 5	100	dis-	0x64	apart	Prefix
Tier 5	101	ek-	0x65	start	Prefix
Tier 5	102	eks-	0x66	former	Prefix
Tier 5	103	for-	0x67	away	Prefix
Tier 5	104	ge-	0x68	both sexes	Prefix
Tier 5	105	mal-	0x69	opposite	Prefix
Tier 5	106	mis-	0x6a	wrong	Prefix
Tier 5	107	ne-	0x6b	not	Prefix
Tier 5	108	pra-	0x6c	ancient	Prefix
Tier 5	109	re-	0x6d	again	Prefix
Tier 5	110	sen-	0x6e	without	Prefix
Tier 5	111	sub-	0x6f	under	Prefix
Tier 5	112	super-	0x70	over	Prefix
Tier 6	113	abat	0x71	abbot	Root
Tier 6	114	abel	0x72	bee	Root
Tier 6	115	abi	0x73	fir	Root
Tier 6	116	ablativ	0x74	ablative	Root
Tier 6	117	abomen	0x75	abhorrence	Root
Tier 6	118	abon	0x76	subscribe	Root
Tier 6	119	abrikot	0x77	apricot	Root
Tier 6	120	absces	0x78	abscess	Root
Tier 6	121	absint	0x79	absinth	Root
Tier 6	122	absolut	0x7a	absolute	Root
Tier 6	123	acid	0x7b	sour	Root
Tier 6	124	adiau	0x7c	adieu	Root
Tier 6	125	adiaŭ	0x7d	adieu	Root
Tier 6	126	adjektiv	0x7e	adjective	Root
Tier 6	127	administr	0x7f	administer	Root
Tier 6	128	admir	0x80	admire	Root
Tier 6	129	admon	0x81	admonish	Root
Tier 6	130	ador	0x82	adore	Root
Tier 6	131	adres	0x83	address	Root
Tier 6	132	adult	0x84	commit adultery	Root
Tier 6	133	adverb	0x85	adverb	Root
Tier 6	134	aer	0x86	the air	Root
Tier 6	135	aerum	0x87	air out	Root
Tier 6	136	afabl	0x88	affable	Root
Tier 6	137	afekt	0x89	attitudinize	Root
Tier 6	138	afer	0x8a	affair	Root
Tier 6	139	agac	0x8b	[needs definition]	Root
Tier 6	140	agl	0x8c	the eagle	Root
Tier 6	141	agord	0x8d	tune	Root
Tier 6	142	agrabl	0x8e	agreeable	Root
Tier 6	143	ajl	0x8f	garlic	Root
Tier 6	144	ajn	0x90	ever	Root
Tier 6	145	akar	0x91	mite	Root
Tier 6	146	akcel	0x92	accelerate	Root
Tier 6	147	akcent	0x93	accent	Root
Tier 6	148	akcept	0x94	accept (to accept)	Root
Tier 6	149	akcipitr	0x95	hawk	Root
Tier 6	150	akir	0x96	acquire	Root
Tier 6	151	akn	0x97	pimple	Root
Tier 6	152	akompan	0x98	accompany	Root
Tier 6	153	akr	0x99	sharp	Root
Tier 6	154	akrid	0x9a	grasshopper	Root
Tier 6	155	aks	0x9b	axis	Root
Tier 6	156	aktiv	0x9c	active (active)	Root
Tier 6	157	akuzativ	0x9d	accusative	Root
Tier 6	158	akuŝ	0x9e	give birth	Root
Tier 6	159	akuŝistin	0x9f	midwife	Root
Tier 6	160	akv	0xa0	water	Root
Tier 6	161	al	0xa1	to	Root
Tier 6	162	alaŭd	0xa2	lark	Root
Tier 6	163	alcion	0xa3	halcyon	Root
Tier 6	164	aleĉj	0xa4	[needs definition]	Root
Tier 6	165	alfabet	0xa5	alphabet	Root
Tier 6	166	ali	0xa6	other	Root
Tier 6	167	alk	0xa7	elk	Root
Tier 6	168	almenau	0xa8	at least	Root
Tier 6	169	almenaŭ	0xa9	at least	Root
Tier 6	170	almoz	0xaa	alms	Root
Tier 6	171	aln	0xab	alder	Root
Tier 6	172	alt	0xac	high	Root
Tier 6	173	altar	0xad	altar	Root
Tier 6	174	alte	0xae	[needs definition]	Root
Tier 6	175	altern	0xaf	alternate	Root
Tier 6	176	altranĉ	0xb0	[needs definition]	Root
Tier 6	177	alud	0xb1	allude	Root
Tier 6	178	alumet	0xb2	a match	Root
Tier 6	179	alun	0xb3	alum	Root
Tier 6	180	am	0xb4	love	Root
Tier 6	181	amas	0xb5	a crowd	Root
Tier 6	182	ambaŭ	0xb6	both	Root
Tier 6	183	ambos	0xb7	anvil	Root
Tier 6	184	amel	0xb8	[needs definition]	Root
Tier 6	185	amfibi	0xb9	amphibian	Root
Tier 6	186	amik	0xba	friend	Root
Tier 6	187	amindum	0xbb	court	Root
Tier 6	188	amoniak	0xbc	ammonia	Root
Tier 6	189	ampleks	0xbd	bulk	Root
Tier 6	190	amuz	0xbe	amuse	Root
Tier 6	191	ananas	0xbf	pine-apple	Root
Tier 6	192	anar	0xc0	adherents	Root
Tier 6	193	anas	0xc1	duck	Root
Tier 6	194	angil	0xc2	eel	Root
Tier 6	195	angul	0xc3	an angle	Root
Tier 6	196	anim	0xc4	the soul	Root
Tier 6	197	aniz	0xc5	anise	Root
Tier 6	198	ankau	0xc6	also	Root
Tier 6	199	ankaŭ	0xc7	also	Root
Tier 6	200	ankorau	0xc8	still	Root
Tier 6	201	ankoraŭ	0xc9	still	Root
Tier 6	202	ankr	0xca	anchor	Root
Tier 6	203	anonc	0xcb	advertise	Root
Tier 6	204	anser	0xcc	goose	Root
Tier 6	205	anstatau	0xcd	instead of	Root
Tier 6	206	anstataŭ	0xce	instead of	Root
Tier 6	207	ant	0xcf	present participle active	Root
Tier 6	208	antau	0xd0	before	Root
Tier 6	209	antaŭ	0xd1	before	Root
Tier 6	210	antaŭtuk	0xd2	apron (front cloth)	Root
Tier 6	211	antaŭurb	0xd3	suburb	Root
Tier 6	212	antikv	0xd4	ancient	Root
Tier 6	213	antimon	0xd5	antimony	Root
Tier 6	214	anunciaci	0xd6	Annunciation	Root
Tier 6	215	anĝel	0xd7	an angel	Root
Tier 6	216	apart	0xd8	separate	Root
Tier 6	217	aparten	0xd9	belong	Root
Tier 6	218	apenau	0xda	scarcely	Root
Tier 6	219	apenaŭ	0xdb	barely	Root
Tier 6	220	aper	0xdc	appear	Root
Tier 6	221	aplaŭd	0xdd	acclaim	Root
Tier 6	222	apog	0xde	lean	Root
Tier 6	223	apr	0xdf	wild boar	Root
Tier 6	224	april	0xe0	April	Root
Tier 6	225	aprob	0xe1	approve (to approve)	Root
Tier 6	226	apud	0xe2	near	Root
Tier 6	227	arane	0xe3	spider	Root
Tier 6	228	aranĝ	0xe4	arrange	Root
Tier 6	229	arb	0xe5	a tree	Root
Tier 6	230	arbitr	0xe6	arbitrary	Root
Tier 6	231	arde	0xe7	heron	Root
Tier 6	232	ardez	0xe8	[needs definition]	Root
Tier 6	233	aren	0xe9	arena	Root
Tier 6	234	arest	0xea	arrest	Root
Tier 6	235	argil	0xeb	clay	Root
Tier 6	236	argument	0xec	maintain	Root
Tier 6	237	ark	0xed	arch	Root
Tier 6	238	arleken	0xee	buffoon	Root
Tier 6	239	arm	0xef	arm	Root
Tier 6	240	arogant	0xf0	arrogant	Root
Tier 6	241	arsenik	0xf1	arsenic	Root
Tier 6	242	art	0xf2	art	Root
Tier 6	243	artifik	0xf3	subterfuge	Root
Tier 6	244	artik	0xf4	joint	Root
Tier 6	245	artikol	0xf5	[needs definition]	Root
Tier 6	246	artiŝok	0xf6	artichoke	Root
Tier 6	247	artrit	0xf7	arthritis	Root
Tier 6	248	arĉ	0xf8	[needs definition]	Root
Tier 6	249	arĝent	0xf9	silver	Root
Tier 6	250	arĥitektur	0xfa	architecture	Root
Tier 6	251	asign	0xfb	assign	Root
Tier 6	252	asparag	0xfc	asparagus	Root
Tier 6	253	aspid	0xfd	[needs definition]	Root
Tier 6	254	at	0xfe	present participle passive	Root
Tier 6	255	atak	0xff	attack (to attack)	Root
Tier 6	256	atenc	0x0a0a	assault	Root
Tier 6	257	atend	0x0a0b	wait for	Root
Tier 6	258	atent	0x0a0c	attentive	Root
Tier 6	259	atest	0x0a0d	attest	Root
Tier 6	260	ating	0x0a0e	accomplish	Root
Tier 6	261	atripl	0x0a0f	orache	Root
Tier 6	262	atut	0x0a10	trump	Root
Tier 6	263	au	0x0a11	or	Root
Tier 6	264	aud	0x0a12	hear	Root
Tier 6	265	autun	0x0a13	autumn	Root
Tier 6	266	auŝkult	0x0a14	listen to	Root
Tier 6	267	av	0x0a15	grandfather	Root
Tier 6	268	avar	0x0a16	avaricious	Root
Tier 6	269	avarul	0x0a17	miser	Root
Tier 6	270	avel	0x0a18	hazelnut	Root
Tier 6	271	aven	0x0a19	oats	Root
Tier 6	272	aventur	0x0a1a	adventure	Root
Tier 6	273	avert	0x0a1b	caution	Root
Tier 6	274	avid	0x0a1c	avid	Root
Tier 6	275	aviz	0x0a1d	notification	Root
Tier 6	276	azen	0x0a1e	an ass	Root
Tier 6	277	azot	0x0a1f	nitrogen	Root
Tier 6	278	aĉet	0x0a20	buy	Root
Tier 6	279	aĝ	0x0a21	the age	Root
Tier 6	280	aŭ	0x0a22	or	Root
Tier 6	281	aŭd	0x0a23	hear	Root
Tier 6	282	aŭgust	0x0a24	Augustus	Root
Tier 6	283	aŭskult	0x0a25	listen	Root
Tier 6	284	aŭtor	0x0a26	author	Root
Tier 6	285	aŭtoritat	0x0a27	authority	Root
Tier 6	286	aŭtun	0x0a28	autumn	Root
Tier 6	287	babil	0x0a29	prate	Root
Tier 6	288	bagatel	0x0a2a	trifle	Root
Tier 6	289	bajonet	0x0a2b	bayonet	Root
Tier 6	290	bak	0x0a2c	bake	Root
Tier 6	291	bal	0x0a2d	ball	Root
Tier 6	292	bala	0x0a2e	sweep	Root
Tier 6	293	balanc	0x0a2f	nod	Root
Tier 6	294	balbut	0x0a30	stammer	Root
Tier 6	295	baldaken	0x0a31	baldachin	Root
Tier 6	296	baldau	0x0a32	soon	Root
Tier 6	297	baldaŭ	0x0a33	soon	Root
Tier 6	298	balen	0x0a34	whale	Root
Tier 6	299	balenost	0x0a35	baleen	Root
Tier 6	300	balustrad	0x0a36	balustrade	Root
Tier 6	301	bambu	0x0a37	bamboo	Root
Tier 6	302	ban	0x0a38	bathe	Root
Tier 6	303	band	0x0a39	band	Root
Tier 6	304	bant	0x0a3a	[needs definition]	Root
Tier 6	305	bapt	0x0a3b	baptize	Root
Tier 6	306	bar	0x0a3c	bar	Root
Tier 6	307	barakt	0x0a3d	flounder	Root
Tier 6	308	barb	0x0a3e	the beard	Root
Tier 6	309	barbir	0x0a3f	barber	Root
Tier 6	310	barel	0x0a40	barrel	Root
Tier 6	311	baril	0x0a41	fence	Root
Tier 6	312	bark	0x0a42	bark	Root
Tier 6	313	barĉ	0x0a43	borscht	Root
Tier 6	314	bask	0x0a44	[needs definition]	Root
Tier 6	315	bast	0x0a45	bast	Root
Tier 6	316	bastion	0x0a46	bastion	Root
Tier 6	317	baston	0x0a47	stick	Root
Tier 6	318	bat	0x0a48	beat	Root
Tier 6	319	batal	0x0a49	fight	Root
Tier 6	320	batalil	0x0a4a	[needs definition]	Root
Tier 6	321	bazar	0x0a4b	bazaar	Root
Tier 6	322	bed	0x0a4c	bed	Root
Tier 6	323	bedaur	0x0a4d	pity	Root
Tier 6	324	bedaŭr	0x0a4e	pity	Root
Tier 6	325	bek	0x0a4f	beak	Root
Tier 6	326	bel	0x0a50	beautiful	Root
Tier 6	327	beladon	0x0a51	belladonna	Root
Tier 6	328	belul	0x0a52	[needs definition]	Root
Tier 6	329	ben	0x0a53	bless	Root
Tier 6	330	benk	0x0a54	a bench	Root
Tier 6	331	ber	0x0a55	berry	Root
Tier 6	332	best	0x0a56	an animal	Root
Tier 6	333	bet	0x0a57	beet	Root
Tier 6	334	betul	0x0a58	birch	Root
Tier 6	335	bezon	0x0a59	want	Root
Tier 6	336	bien	0x0a5a	estate	Root
Tier 6	337	bier	0x0a5b	beer	Root
Tier 6	338	bind	0x0a5c	bind	Root
Tier 6	339	bird	0x0a5d	a bird	Root
Tier 6	340	biskvit	0x0a5e	biscuit	Root
Tier 6	341	bismut	0x0a5f	bismuth	Root
Tier 6	342	blank	0x0a60	white	Root
Tier 6	343	blat	0x0a61	cockroach	Root
Tier 6	344	blek	0x0a62	bellow	Root
Tier 6	345	blind	0x0a63	blind	Root
Tier 6	346	blond	0x0a64	blond	Root
Tier 6	347	blov	0x0a65	blow	Root
Tier 6	348	blu	0x0a66	blue	Root
Tier 6	349	boa	0x0a67	boa	Root
Tier 6	350	boat	0x0a68	boat	Root
Tier 6	351	boben	0x0a69	bobbin	Root
Tier 6	352	boj	0x0a6a	bark	Root
Tier 6	353	bol	0x0a6b	boil	Root
Tier 6	354	bombon	0x0a6c	bonbon	Root
Tier 6	355	bon	0x0a6d	good	Root
Tier 6	356	bor	0x0a6e	bore	Root
Tier 6	357	boraks	0x0a6f	borax	Root
Tier 6	358	bord	0x0a70	the shore	Root
Tier 6	359	border	0x0a71	[needs definition]	Root
Tier 6	360	bors	0x0a72	stock exchange	Root
Tier 6	361	bot	0x0a73	a boot	Root
Tier 6	362	botel	0x0a74	a bottle	Root
Tier 6	363	botist	0x0a75	[needs definition]	Root
Tier 6	364	bov	0x0a76	an ox	Root
Tier 6	365	brak	0x0a77	arm (arm)	Root
Tier 6	366	bram	0x0a78	[needs definition]	Root
Tier 6	367	bran	0x0a79	[needs definition]	Root
Tier 6	368	brand	0x0a7a	brandy	Root
Tier 6	369	brank	0x0a7b	gill	Root
Tier 6	370	branĉ	0x0a7c	a branch	Root
Tier 6	371	brasik	0x0a7d	cabbage	Root
Tier 6	372	brav	0x0a7e	brave	Root
Tier 6	373	bret	0x0a7f	shelf	Root
Tier 6	374	brid	0x0a80	bridle	Root
Tier 6	375	brik	0x0a81	brick	Root
Tier 6	376	bril	0x0a82	shine	Root
Tier 6	377	briliant	0x0a83	[needs definition]	Root
Tier 6	378	brod	0x0a84	embroider	Root
Tier 6	379	brog	0x0a85	scald	Root
Tier 6	380	bronz	0x0a86	bronze	Root
Tier 6	381	bros	0x0a87	a brush	Root
Tier 6	382	brov	0x0a88	eyebrow	Root
Tier 6	383	bru	0x0a89	make a noise	Root
Tier 6	384	brul	0x0a8a	burn one's self	Root
Tier 6	385	brun	0x0a8b	brown	Root
Tier 6	386	brust	0x0a8c	the breast	Root
Tier 6	387	brut	0x0a8d	brute	Root
Tier 6	388	bub	0x0a8e	[needs definition]	Root
Tier 6	389	bubal	0x0a8f	buffalo	Root
Tier 6	390	bud	0x0a90	barn	Root
Tier 6	391	buf	0x0a91	toad	Root
Tier 6	392	bufed	0x0a92	buffet	Root
Tier 6	393	buk	0x0a93	buckle	Root
Tier 6	394	buked	0x0a94	bouquet	Root
Tier 6	395	bukl	0x0a95	curl	Root
Tier 6	396	bul	0x0a96	chunk	Root
Tier 6	397	bulb	0x0a97	bulb	Root
Tier 6	398	buljon	0x0a98	bouillon	Root
Tier 6	399	bulk	0x0a99	roll	Root
Tier 6	400	burd	0x0a9a	bumblebee	Root
Tier 6	401	burĝ	0x0a9b	middleclass citizen	Root
Tier 6	402	burĝon	0x0a9c	bud	Root
Tier 6	403	buter	0x0a9d	butter	Root
Tier 6	404	butik	0x0a9e	boutique	Root
Tier 6	405	buton	0x0a9f	a button	Root
Tier 6	406	butonum	0x0aa0	button	Root
Tier 6	407	buĉ	0x0aa1	butcher	Root
Tier 6	408	buŝ	0x0aa2	the mouth	Root
Tier 6	409	buŝel	0x0aa3	[needs definition]	Root
Tier 6	410	buŝum	0x0aa4	muzzle	Root
Tier 6	411	ced	0x0aa5	cede	Root
Tier 6	412	cedr	0x0aa6	cedar	Root
Tier 6	413	cejan	0x0aa7	[needs definition]	Root
Tier 6	414	cel	0x0aa8	aim	Root
Tier 6	415	cement	0x0aa9	cement	Root
Tier 6	416	cent	0x0aaa	a hundred	Root
Tier 6	417	cerb	0x0aab	brain (brain)	Root
Tier 6	418	cert	0x0aac	certain	Root
Tier 6	419	certig	0x0aad	assure	Root
Tier 6	420	cerv	0x0aae	deer	Root
Tier 6	421	ceter	0x0aaf	the remainder	Root
Tier 6	422	ci	0x0ab0	thou	Root
Tier 6	423	cifer	0x0ab1	cipher	Root
Tier 6	424	ciferplat	0x0ab2	dial	Root
Tier 6	425	cigar	0x0ab3	a cigar	Root
Tier 6	426	cigared	0x0ab4	a cigarette	Root
Tier 6	427	cigaruj	0x0ab5	[needs definition]	Root
Tier 6	428	cign	0x0ab6	swan	Root
Tier 6	429	cikatr	0x0ab7	scar	Root
Tier 6	430	cikoni	0x0ab8	stork	Root
Tier 6	431	cikori	0x0ab9	chicory	Root
Tier 6	432	cim	0x0aba	bug	Root
Tier 6	433	cimbal	0x0abb	cymbal	Root
Tier 6	434	cinabr	0x0abc	[needs definition]	Root
Tier 6	435	cinam	0x0abd	cinnamon	Root
Tier 6	436	cindr	0x0abe	ash	Root
Tier 6	437	cipres	0x0abf	cypres	Root
Tier 6	438	cir	0x0ac0	polish	Root
Tier 6	439	cirkel	0x0ac1	[needs definition]	Root
Tier 6	440	cirkonstanc	0x0ac2	circumstance	Root
Tier 6	441	cirkuler	0x0ac3	circular	Root
Tier 6	442	cit	0x0ac4	cite	Root
Tier 6	443	citr	0x0ac5	zither	Root
Tier 6	444	citron	0x0ac6	a lemon	Root
Tier 6	445	civiliz	0x0ac7	civilize	Root
Tier 6	446	col	0x0ac8	inch	Root
Tier 6	447	da	0x0ac9	genitive particle (after measure	Root
Tier 6	448	daktil	0x0aca	date	Root
Tier 6	449	dam	0x0acb	checkers	Root
Tier 6	450	damask	0x0acc	Damascus	Root
Tier 6	451	danc	0x0acd	dance	Root
Tier 6	452	dand	0x0ace	dandy	Root
Tier 6	453	dank	0x0acf	thank	Root
Tier 6	454	danĝer	0x0ad0	danger	Root
Tier 6	455	dat	0x0ad1	date (date)	Root
Tier 6	456	dativ	0x0ad2	[needs definition]	Root
Tier 6	457	datur	0x0ad3	[needs definition]	Root
Tier 6	458	daur	0x0ad4	endure	Root
Tier 6	459	daŭr	0x0ad5	endure	Root
Tier 6	460	daŭrig	0x0ad6	continue	Root
Tier 6	461	de	0x0ad7	from	Root
Tier 6	462	dec	0x0ad8	befit	Root
Tier 6	463	decembr	0x0ad9	December	Root
Tier 6	464	decid	0x0ada	decide	Root
Tier 6	465	dediĉ	0x0adb	dedicate	Root
Tier 6	466	defend	0x0adc	defend	Root
Tier 6	467	defluil	0x0add	[needs definition]	Root
Tier 6	468	degel	0x0ade	melt	Root
Tier 6	469	degener	0x0adf	degenerate	Root
Tier 6	470	degrad	0x0ae0	degrade	Root
Tier 6	471	dek	0x0ae1	ten	Root
Tier 6	472	deklinaci	0x0ae2	[needs definition]	Root
Tier 6	473	dekliv	0x0ae3	acclivity	Root
Tier 6	474	dekstr	0x0ae4	right (adj.)	Root
Tier 6	475	delfen	0x0ae5	dolphin	Root
Tier 6	476	delic	0x0ae6	[needs definition]	Root
Tier 6	477	delikat	0x0ae7	dainty	Root
Tier 6	478	delir	0x0ae8	be delirious	Root
Tier 6	479	demand	0x0ae9	ask	Root
Tier 6	480	demon	0x0aea	demon	Root
Tier 6	481	denar	0x0aeb	[needs definition]	Root
Tier 6	482	dens	0x0aec	dense	Root
Tier 6	483	dent	0x0aed	a tooth	Root
Tier 6	484	denunc	0x0aee	denounce	Root
Tier 6	485	deput	0x0aef	depute	Root
Tier 6	486	des	0x0af0	the	Root
Tier 6	487	desegn	0x0af1	design	Root
Tier 6	488	detal	0x0af2	detailed	Root
Tier 6	489	deten	0x0af3	abstract	Root
Tier 6	490	detru	0x0af4	demolish	Root
Tier 6	491	dev	0x0af5	must	Root
Tier 6	492	deven	0x0af6	come	Root
Tier 6	493	devig	0x0af7	compel	Root
Tier 6	494	deviz	0x0af8	motto	Root
Tier 6	495	dezert	0x0af9	a desert	Root
Tier 6	496	dezir	0x0afa	desire	Root
Tier 6	497	deĉifr	0x0afb	decipher	Root
Tier 6	498	deĵor	0x0afc	be on duty	Root
Tier 6	499	di	0x0afd	God	Root
Tier 6	500	diabl	0x0afe	devil	Root
Tier 6	501	diamant	0x0aff	diamond	Root
Tier 6	502	diboĉ	0x0b0a	debauch	Root
Tier 6	503	didelf	0x0b0b	opossum	Root
Tier 6	504	difekt	0x0b0c	damage	Root
Tier 6	505	diferenc	0x0b0d	differ (difference/differ)	Root
Tier 6	506	difin	0x0b0e	define	Root
Tier 6	507	dig	0x0b0f	dike	Root
Tier 6	508	digest	0x0b10	digest	Root
Tier 6	509	dik	0x0b11	big	Root
Tier 6	510	dikt	0x0b12	dictate	Root
Tier 6	511	diligent	0x0b13	diligence	Root
Tier 6	512	dimanĉ	0x0b14	Sunday	Root
Tier 6	513	dir	0x0b15	tell	Root
Tier 6	514	direkt	0x0b16	direct (to direct)	Root
Tier 6	515	direktil	0x0b17	handlebars	Root
Tier 6	516	diskont	0x0b18	[needs definition]	Root
Tier 6	517	dispon	0x0b19	absorb	Root
Tier 6	518	disput	0x0b1a	contend for	Root
Tier 6	519	dissem	0x0b1b	disseminate	Root
Tier 6	520	distil	0x0b1c	distil	Root
Tier 6	521	disting	0x0b1d	distinguish	Root
Tier 6	522	distr	0x0b1e	distract	Root
Tier 6	523	distrikt	0x0b1f	district	Root
Tier 6	524	diven	0x0b20	guess	Root
Tier 6	525	divers	0x0b21	diverse	Root
Tier 6	526	divid	0x0b22	divide	Root
Tier 6	527	do	0x0b23	so	Root
Tier 6	528	dogm	0x0b24	dogma	Root
Tier 6	529	doktor	0x0b25	doctor (doctor)	Root
Tier 6	530	dolor	0x0b26	ache	Root
Tier 6	531	dolĉ	0x0b27	sweet	Root
Tier 6	532	dom	0x0b28	house	Root
Tier 6	533	don	0x0b29	give	Root
Tier 6	534	donac	0x0b2a	make a present of	Root
Tier 6	535	dorlot	0x0b2b	coddle	Root
Tier 6	536	dorm	0x0b2c	sleep	Root
Tier 6	537	dors	0x0b2d	the back	Root
Tier 6	538	du	0x0b2e	two	Root
Tier 6	539	dum	0x0b2f	while	Root
Tier 6	540	eben	0x0b30	even	Root
Tier 6	541	edif	0x0b31	edify	Root
Tier 6	542	eduk	0x0b32	educate	Root
Tier 6	543	edz	0x0b33	the husband	Root
Tier 6	544	efektiv	0x0b34	real	Root
Tier 6	545	efik	0x0b35	affect (to affect/have effect)	Root
Tier 6	546	egal	0x0b36	equal	Root
Tier 6	547	ekster	0x0b37	on the outside of	Root
Tier 6	548	ekstr	0x0b38	extra	Root
Tier 6	549	ekzempl	0x0b39	example	Root
Tier 6	550	el	0x0b3a	from	Root
Tier 6	551	elefant	0x0b3b	elephant (elephant)	Root
Tier 6	552	elekt	0x0b3c	choose	Root
Tier 6	553	ellern	0x0b3d	master	Root
Tier 6	554	eminj	0x0b3e	[needs definition]	Root
Tier 6	555	en	0x0b3f	in	Root
Tier 6	556	enterig	0x0b40	bury	Root
Tier 6	557	enu	0x0b41	be weary	Root
Tier 6	558	envi	0x0b42	envy	Root
Tier 6	559	epolet	0x0b43	epaulet	Root
Tier 6	560	erar	0x0b44	err	Root
Tier 6	561	erinac	0x0b45	[needs definition]	Root
Tier 6	562	escept	0x0b46	exclude	Root
Tier 6	563	esper	0x0b47	hope	Root
Tier 6	564	esprim	0x0b48	express	Root
Tier 6	565	est	0x0b49	be	Root
Tier 6	566	estim	0x0b4a	esteem	Root
